Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude,Found,Quality,Source
Politics & General News,,darkblue,white,,<center><font size= 4>Américas.</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1949-.
<br><b>Location:</b>Washington, D. C.
<br><b>Language:</b> Spanish; English; Portuguese
<br><b> Distribution: </b> Monthly; bimonthly
<br><b> Editor/Director/ Proprietor: </b> Organization of American States
","Washington, D. C.,",38.9071923,-77.0368707,"Washington, DC, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Amigo de los Hombres</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1888-18uu
<br><b>Location:</b>Bee County, Texas
<br><b> Editor/Director/ Proprietor: </b> I.R. Rodriguez (Editor)
","Bee County, Texas",28.3624206,-97.6982272,"Bee County, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Amigo del Pueblo</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1908-1917?
<br><b>Location:</b>San Antonio, Texas
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Ascension Lozano (Director)
","San Antonio, Texas",29.4241219,-98.4936282,"San Antonio, TX, USA",Match,Google
Professions/Industries,,green,white,,<center><font size= 4>Anales de la Organización de los Estados Americanos</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1949-1958
<br><b>Location:</b>Washington, D.C
<br><b>Language:</b> Spanish; English; French; Portuguese
<br><b> Distribution: </b> Semiannual; quarterly

","Washington, D.C",38.9071923,-77.0368707,"Washington, DC, USA",Match,Google
Professions/Industries,,green,white,,<center><font size= 4>Anglo-Spanish Merchant</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1880?-1883?
<br><b>Location:</b>San Francisco, California
<br><b> Distribution: </b> Semimonthly
<br><b> Editor/ Director/ Proprietor: </b> Gregory, Winifred Editors
","San Francisco, California",37.7749295,-122.4194155,"San Francisco, CA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Angostura</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1900-1902
<br><b>Location:</b>La Luz, New Mexico
<br><b>Language:</b> Spanish; English","La Luz, New Mexico",32.9778651,-105.9419335,"La Luz, NM, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Antena: Spanish News</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1947-19uu
<br><b>Location:</b>Denver, Colorado
<br><b>Language:</b> Spanish; English
<br><b> Distribution: </b> Semimonthly
<br><b> Editor/ Director/ Proprietor: </b> Virgilio Aguirre (Editor)
","Denver, Colorado",39.7392358,-104.990251,"Denver, CO, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4> Anunciador de N. Méjico</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1871?-1879
<br><b>Location:</b>Las Vegas, New Mexico
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
",,35.5942137,-105.2227978,"Las Vegas, NM 87701, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Anunciador de Trinidad</center></Font>,"https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Anunciador%20de%20Trinidad%20(Trinidad,%20Colorado).PNG?raw=true","<p><b> Years: </b>1904-19uu
<br><b>Location:</b>Trinidad, Colorado
<br><b>Language:</b> Spanish; English
<br><b> Distribution: </b> Weekly
<br><b> Editor/ Director/ Proprietor: </b> La Compañía Publicista El Anunciador/Casimiro Cruz (Editor)
","Trinidad, Colorado",37.1694632,-104.5005407,"Trinidad, CO 81082, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Apachito</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1905-1907
<br><b>Location:</b>St. Johns, Arizona
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Irregular","St. Johns, Arizona",34.5058698,-109.3609327,"St Johns, AZ 85936, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Apretavis</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1915-19uu
<br><b>Location:</b>San Francisco, California
","San Francisco, California",37.7749295,-122.4194155,"San Francisco, CA, USA",Match,Google
Arts & Culture,,orange,white,,<center><font size= 4>Ariel: Revista de Hechos e Ideas</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1939-19uu
<br><b>Location:</b>Los Angeles, California
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly","Los Angeles, California",34.0522342,-118.2436849,"Los Angeles, CA, USA",Match,Google
